song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
6AgtIN7FyBd4zJhZI7mrsz,0REMf7H0VP6DwfZ9MbuWph,195893,48,0,0.497,0.748,-4.5,0.0332,0.00227,0,0.136,0.274,131.944,4,1,6,3,63,13,6601,0.0,184.14005,0.608,0.998,0.4,0.086,108,431,862,7,621
6TghWaPh1WHJKWXow7iujH,0REMf7H0VP6DwfZ9MbuWph,199680,46,0,0.47,0.889,-3.879,0.0747,0.00442,2.47e-06,0.379,0.295,164.111,4,1,6,1,63,14,7331,0.72567,183.47828,0.536,0.996,0.456,0.471,131,529,1058,6,648
3eFRjeJ74r4fmo0kXTdi8Y,0REMf7H0VP6DwfZ9MbuWph,194093,43,0,0.304,0.79,-5.756,0.0371,0.000186,0.000442,0.204,0.542,150.383,3,1,1,1,63,13,5506,0.0,185.09206,0.316,0.656,0.336,0.454,163,490,980,11,590
5fEyUL1sp1cJC4YErd29I4,0REMf7H0VP6DwfZ9MbuWph,223613,42,0,0.414,0.442,-7.525,0.0309,0.756,0,0.0995,0.144,141.295,3,1,6,11,63,13,6601,0.0,218.19791,0.27,0.495,0.83,0.527,170,512,1024,9,623
2AMEArFOkOhRxTY3ahlPuc,0REMf7H0VP6DwfZ9MbuWph,210013,41,0,0.29,0.834,-4.369,0.0488,6.84e-05,0.0089,0.1,0.494,162.61,3,0,5,8,63,13,5506,0.09401,195.4888,0.169,0.984,0.421,0.087,188,566,1132,11,601
5vhT2fcFXcRPnJPQA0m1fv,0REMf7H0VP6DwfZ9MbuWph,214133,39,0,0.388,0.924,-2.502,0.0674,4e-05,0.105,0.31,0.628,177.971,4,1,1,3,63,11,10182,0.179,200.21986,0.206,0.064,0.539,0.581,154,620,1240,8,728
2ReQkp85s3wo5iUY6WxGs9,0REMf7H0VP6DwfZ9MbuWph,251760,41,0,0.372,0.934,-6.631,0.159,0.00553,0.607,0.104,0.14,145.143,4,1,1,1,63,11,9266,4.22603,248.38385,0.426,0.889,0.701,1.0,150,605,1210,12,934
0W7VW6dx9YLVH8MuK1WOHy,6AMa1VFQ7qCi61tCRtVWXe,240822,13,0,0.452,0.802,-9.301,0.495,0.193,0,0.289,0.841,81.806,4,1,1,8,61,20,7933,0.0,236.07728,0.235,1.0,0.515,0.45,82,324,648,9,984
2vXF9RVuJ9bhsfvqOIKMMP,188Yj3sIMfQAZmX0FrVjNS,219820,10,0,0.451,0.869,-7.099,0.394,0.00695,0,0.132,0.481,86.375,4,0,4,7,29,20,7933,0.0,206.65179,0.215,1.0,0.463,0.672,77,312,624,12,943
0oNN8sIXIjjqJ2nERDS9t2,6MXpDdUe2H4Ug3eHrprAtU,232986,9,1,0.61,0.858,-8.046,0.363,0.347,3.63e-06,0.366,0.454,82.263,4,0,1,8,26,18,8648,0.22027,230.03429,0.37,1.0,0.481,0.558,79,315,630,9,969
5is8gpA6qlmEOy3OG0znBY,7f35VZGDpomj11PXdNn5D9,263346,5,0,0.504,0.648,-7.372,0.386,0.0798,0,0.0911,0.521,143.921,4,0,11,10,66,23,6719,0.0,256.06385,0.135,1.0,0.279,0.347,147,593,1186,14,1092
7ryJ6dt45cuvjzImODMhza,7f35VZGDpomj11PXdNn5D9,233600,4,0,0.438,0.895,-2.58,0.446,0.351,0,0.131,0.569,151.921,4,0,1,12,66,23,6719,0.0,231.42748,0.476,0.998,0.623,0.636,149,589,1178,11,958
6j41L4M23DCgtC6qDkHm7N,7f35VZGDpomj11PXdNn5D9,236560,4,0,0.664,0.686,-7.358,0.206,0.014,0,0.707,0.345,80.011,4,0,4,18,66,23,6719,0.0,234.33578,0.131,0.894,0.414,0.475,78,315,630,12,970
3fOkKqFzxk6W2Vfx2XGoB2,4u6vvNXjuFEkdX0lhYdsEK,235075,4,0,0.674,0.649,-6.645,0.289,0.0746,8.92e-05,0.668,0.362,106.686,5,1,7,1,16,2,9275,0.0,235.07591,0.191,0.945,0.694,0.824,106,419,838,7,978
