Artist ID,Artist Name
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert
1r4hJ1h58CWwUQe3MxPuau,Maluma
06HL4z0CvFAxyc27GXpf02,Taylor Swift
4xRYI6VqpkE3UwrDrAZL8L,Logic
5pKCCKE2ajJHZ9KAiaK11H,Rihanna
5Pwc4xIPtQLFEnJriah9YJ,OneRepublic
3AQRLZ9PuTAozP28Skbq8V,The Script
73jBynjsVtofjRpdpRAJGk,Dimitri Vegas & Like Mike
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix
3AVfmawzu83sp94QW7CEGm,Astrid S
6T5tfhQCknKG4UnH90qGnz,DNCE
790FomKkXshlbRYZFtlgla,Karol G
6vXTefBL93Dj5IqAWq6OTv,French Montana
0du5cEVh5yTK9QJze8zA0C,Bruno Mars
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran
1SupJlEpv7RS2tPNRaHViT,Nicky Jam
6Ha4aES39QiVjR0L2lwuwq,Yo Gotti
7vk5e3vY1uw9plTHJAMwjN,Alan Walker
1l8Fu6IkuTP0U5QetQJ5Xt,Fifth Harmony
3wyVrVrFCkukjdVIdirGVY,Lil Pump
46SHBwWsqBkxI7EeeBEQG7,Kodak Black
15UsOTVnJzReFVN1VCnxy4,XXXTENTACION
2qxJFvFYMEDqd7ui6kSAcq,Zedd
7xEFii6utZmQ61kX59HmLH,FRENSHIP
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons
3JhNCzhSMTxs9WLGJJxWOY,Macklemore
2P5sC9cVZDToPxyomzF1UH,Joey Bada$$
1Fr6agZ6iSM5Ynn2k4C8sc,VÉRITÉ
4f9iBmdUOhQWeP7dcAn1pf,Rag'n'Bone Man
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie
0lzV2CiahHRiGd6qpADtPS,James Hersey
