song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
2fQ7rWMZ7xO3wf7F77keGA,5ZiVNVZ2yPcn7SsdMISFHa,97000,31,0,0.592,0.323,-17.2,0.0278,0.247,7.11e-06,0.279,0.925,95.087,4,1,10,4,51,50,8844,0.30676,88.96145,0.65,1.0,0.607,0.735,36,146,292,7,347
4NIiXQfJNBA1uKZvIJ7whL,5ZiVNVZ2yPcn7SsdMISFHa,131906,32,0,0.479,0.399,-16.836,0.031,0.388,4.28e-06,0.34,0.756,165.006,4,1,10,1,51,50,8844,0.0,129.69506,0.117,0.829,0.833,0.959,89,358,716,7,527
21RUB8tMaZGrNRg0vkDkGU,5ZiVNVZ2yPcn7SsdMISFHa,159000,27,0,0.742,0.522,-13.554,0.041,0.156,0,0.0185,0.961,142.942,4,1,2,36,51,50,8844,0.30454,156.68825,0.527,1.0,0.481,0.713,92,374,748,7,684
6Depci3nbDrSkNTa22cS38,5ZiVNVZ2yPcn7SsdMISFHa,297000,27,0,0.728,0.493,-14.285,0.0397,0.23,0.054,0.375,0.789,120.943,4,1,0,37,51,50,8844,2.0956,294.04009,0.886,1.0,0.709,0.991,147,594,1188,15,1110
1wBDvN6SV0NNcZYA6WHIKz,5ZiVNVZ2yPcn7SsdMISFHa,83039,20,0,0.88,0.281,-14.034,0.111,0.794,0,0.237,0.752,120.466,4,1,8,38,51,50,8844,0.06957,83.03991,0.279,0.402,0.686,0.738,40,165,330,5,249
7AFPD6JLWY0yX4FsatGvPi,5ZiVNVZ2yPcn7SsdMISFHa,71427,18,0,0.83,0.127,-12.723,0.038,0.827,0,0.0969,0.818,132.924,3,1,5,53,51,50,8844,0.08104,67.66295,0.644,1.0,0.685,0.905,50,153,306,4,179
62N3BBVDcvplp1rKtuvoOT,5ZiVNVZ2yPcn7SsdMISFHa,204025,26,0,0.732,0.446,-15.893,0.0507,0.0896,0.0129,0.33,0.582,125.057,4,1,7,7,51,50,8844,0.42989,191.45433,0.851,0.642,0.594,0.298,106,419,838,9,855
76NAeWNRcfCNq64bOOsXWd,5ZiVNVZ2yPcn7SsdMISFHa,87586,19,0,0.602,0.138,-13.2,0.0333,0.675,0,0.141,0.373,120.088,3,1,6,46,51,50,8844,0.2278,83.15066,0.263,0.496,0.866,1.0,56,173,346,4,252
6Rwv0fzupqDPYNdRTVoqpQ,5ZiVNVZ2yPcn7SsdMISFHa,70013,19,0,0.94,0.406,-13.592,0.0501,0.76,0,0.096,0.98,105.015,4,1,3,47,51,50,8844,0.25551,63.87229,0.104,0.856,0.523,0.915,30,121,242,5,229
5TWGNCfjKiLyCDnwSmyqOQ,5ZiVNVZ2yPcn7SsdMISFHa,84533,31,0,0.971,0.293,-15.434,0.0641,0.464,0,0.0952,0.97,110.133,4,1,7,2,51,50,8844,0.0,82.12898,0.742,1.0,0.578,0.286,37,152,304,5,315
