song_id,artist_id,duration,popularity,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,mode,key,track_number,artist_popularity,album_length,release_date,end_of_fade_in,start_of_fade_out,tempo_confidence,time_signature_confidence,mode_confidence,key_confidence,num_bars,num_beats,num_tatums,num_sections,num_segments
6vECYJHxYmm3Ydt3fF01pE,1hzfo8twXdOegF3xireCYs,313684,70,0,0.887,0.584,-8.798,0.0381,0.41,0.000314,0.101,0.677,114.016,4,1,11,11,78,14,8960,0.26118,289.37288,0.791,1.0,0.457,0.491,147,585,1170,12,1183
6acDlNeA06MCVCzsTVGr9V,1hzfo8twXdOegF3xireCYs,255160,65,0,0.741,0.671,-6.805,0.0338,0.103,0.000239,0.0585,0.808,114.031,4,1,10,9,78,20,9962,0.21383,252.30803,0.961,0.73,0.275,0.178,120,480,960,8,1061
5mpLcXEsk3jjzLFGuNKk5I,1hzfo8twXdOegF3xireCYs,262000,63,0,0.841,0.842,-8.701,0.0464,0.372,0.0316,0.113,0.894,117.997,4,1,11,2,78,14,8960,0.0,258.22331,0.573,1.0,0.511,0.403,127,511,1022,12,914
4KAs4IcxluXDFGuV4XCEJa,1hzfo8twXdOegF3xireCYs,250586,58,0,0.71,0.746,-8.354,0.0507,0.283,0.0841,0.104,0.686,98.017,4,0,9,4,78,20,9962,0.08866,243.7805,0.139,1.0,0.069,0.0,100,400,800,10,1144
3vmE845FU7PdYh4tuoWUU2,1hzfo8twXdOegF3xireCYs,254586,57,0,0.752,0.701,-6.572,0.028,0.0284,1.61e-05,0.074,0.846,120.018,4,1,4,1,78,20,9962,16.20172,247.63501,0.721,1.0,0.418,0.385,125,497,994,7,851
63fj7dR4QGRHDHKZStUuAY,1hzfo8twXdOegF3xireCYs,252893,58,0,0.794,0.509,-9.508,0.0675,0.536,0.00068,0.217,0.507,110.037,4,0,9,8,78,20,9962,0.10091,247.7395,0.702,1.0,0.463,0.263,114,456,912,11,969
7HNpXPaTcX5CoNBjTAEWBr,1hzfo8twXdOegF3xireCYs,241052,57,0,0.666,0.696,-7.93,0.0635,0.76,4.5e-05,0.109,0.471,113.98,4,1,9,8,78,14,8960,0.42948,226.94603,0.542,1.0,0.496,0.347,111,446,892,11,927
29UccmEOSp9Zb4YTdPk8Ks,1hzfo8twXdOegF3xireCYs,221640,55,0,0.756,0.646,-8.126,0.034,0.0403,0.00784,0.166,0.381,109.983,4,1,2,3,78,20,9962,0.33143,215.26059,0.654,0.995,0.567,0.465,100,399,798,10,935
76g4PHyPEb2oDxB0CwWqjA,1hzfo8twXdOegF3xireCYs,232213,55,0,0.735,0.793,-6.273,0.0361,0.0859,2.16e-06,0.0625,0.757,128.012,4,1,7,2,78,20,9962,0.20317,223.4224,0.918,1.0,0.456,0.391,122,489,978,12,889
53sFmcXTW7wbbqMX4MHaa1,1hzfo8twXdOegF3xireCYs,204360,48,0,0.707,0.813,-5.42,0.0384,0.0206,9.24e-06,0.14,0.814,122.043,4,1,9,1,78,1,10010,0.09329,198.35646,0.951,1.0,0.262,0.146,103,409,818,6,777
6rPO02ozF3bM7NnOV4h6s2,4V8Sr092TqfHkfAA5fXXqG,228826,83,0,0.63,0.815,-4.265,0.152,0.222,0,0.091,0.813,88.357,4,1,2,1,89,1,9992,0.0,224.09578,0.153,0.931,0.501,0.33,84,333,666,13,1019
2hl6q70unbviGo3g1R7uFx,4V8Sr092TqfHkfAA5fXXqG,173720,79,0,0.726,0.889,-3.655,0.0429,0.0328,0,0.0925,0.649,96.024,4,1,0,1,89,1,10202,0.36,166.06912,0.0,1.0,0.449,0.395,66,269,538,9,851
7CUYHcu0RnbOnMz4RuN07w,4V8Sr092TqfHkfAA5fXXqG,228200,79,0,0.618,0.793,-4.777,0.151,0.2,0,0.106,0.874,88.387,4,1,2,1,89,1,9898,0.44698,228.2,0.0,0.76,0.617,0.523,83,333,666,11,1054
5vc9YsAEBWbRVvgKUcA5vs,5sK8BsvyDl4TFA6KaBf8or,195813,67,0,0.717,0.864,-3.928,0.053,0.0208,0,0.222,0.841,101.015,4,1,0,1,73,1,10140,0.55474,190.06694,0.761,1.0,0.567,0.678,79,320,640,8,880
0tzixmHNQfE6S6SirSToxW,7slfeZO9LsJbWgpkIoXBUJ,237466,65,0,0.276,0.572,-7.818,0.0377,0.641,0,0.2,0.285,77.986,4,1,1,1,79,4,4366,3.11147,231.85125,0.116,0.989,0.586,0.566,77,306,612,10,753
2soXzaiEWhHzUCnSi94jTv,4V8Sr092TqfHkfAA5fXXqG,190320,57,0,0.796,0.762,-3.782,0.0457,0.018,0.00045,0.155,0.533,100.018,4,1,2,1,89,1,10010,0.33079,181.91673,0.363,1.0,0.495,0.311,77,313,626,11,839
609SDGj0txmlAXRrpwee9Y,4V8Sr092TqfHkfAA5fXXqG,221946,60,0,0.756,0.522,-6.691,0.0405,0.788,0,0.199,0.522,119.937,4,1,1,8,89,11,8791,0.2317,213.71646,0.778,0.944,0.67,0.555,109,434,868,10,808
4lerOTNr2tFWJCAmmhymhi,4V8Sr092TqfHkfAA5fXXqG,239400,55,0,0.368,0.649,-5.866,0.079,0.429,0,0.596,0.476,171.976,3,1,3,4,89,18,6570,0.39333,225.37868,0.213,0.933,0.581,0.546,224,677,1354,10,853
3ljr9ATeLs2BY9gNp7vm62,4V8Sr092TqfHkfAA5fXXqG,221520,55,0,0.642,0.648,-5.143,0.0575,0.0284,0,0.157,0.887,165.984,4,1,9,3,89,11,8791,0.0,217.55356,0.887,1.0,0.506,0.515,151,605,1210,13,832
4go2M6us50x9TQ1NvsB4vt,4V8Sr092TqfHkfAA5fXXqG,251520,55,0,0.424,0.519,-6.33,0.0303,0.341,0,0.29,0.352,149.34,3,1,4,11,89,18,6570,0.28898,234.5854,0.201,1.0,0.665,0.635,201,601,1202,13,799
39jXnbACjiaiTwwhsr5sY5,1Hsdzj7Dlq2I7tHP7501T4,223043,77,1,0.509,0.538,-6.456,0.0397,0.381,0,0.13,0.178,153.711,4,1,0,5,89,13,10175,0.49909,218.12825,0.039,0.914,0.734,0.602,140,559,1118,9,700
2cOUlop2ZakjOKe4WinesN,1Hsdzj7Dlq2I7tHP7501T4,188174,74,0,0.726,0.431,-6.666,0.0554,0.0139,0,0.054,0.86,85.889,4,1,0,4,89,13,10175,0.49932,188.17442,0.584,0.85,0.336,0.562,66,268,536,9,647
0qvzXomUDJVaUboy2wMfiS,1Hsdzj7Dlq2I7tHP7501T4,232852,70,0,0.678,0.401,-8.408,0.0312,0.72,0,0.118,0.194,111.855,4,0,6,2,89,13,10175,0.2893,225.23356,0.783,0.995,0.421,0.069,105,420,840,9,678
5BpmwiKR6ns1EtfCQRpNUc,1Hsdzj7Dlq2I7tHP7501T4,258025,68,0,0.3,0.313,-9.807,0.0301,0.706,9.46e-06,0.302,0.213,92.798,3,1,3,8,89,13,10175,0.50562,241.96354,0.059,0.879,0.565,0.416,190,570,1140,11,795
65wnZsZLKJimfK1cTFOfa1,1Hsdzj7Dlq2I7tHP7501T4,185280,71,0,0.709,0.571,-7.617,0.0405,0.0466,0,0.106,0.51,93.957,4,1,9,3,89,13,10175,0.49927,178.98522,0.343,0.985,0.521,0.494,70,279,558,7,617
0kThmY7A0ynir2qLWFFhrY,1Hsdzj7Dlq2I7tHP7501T4,223814,68,0,0.721,0.602,-7.06,0.0347,0.00793,1.17e-06,0.124,0.682,124.025,4,0,11,1,89,13,10175,0.49864,217.74512,0.91,1.0,0.739,0.886,113,457,914,14,823
1hJ6KojJObbRvjuVj8Ezya,1Hsdzj7Dlq2I7tHP7501T4,214525,66,0,0.343,0.452,-8.522,0.0384,0.103,5.11e-06,0.0857,0.261,177.795,3,1,4,6,89,13,10175,0.49846,207.16844,0.224,0.562,0.443,0.44,186,564,1128,11,627
3BK5t8Z6AkaeUTdFjehHqy,1Hsdzj7Dlq2I7tHP7501T4,160592,57,0,0.817,0.215,-8.344,0.0385,0.255,0,0.11,0.616,87.424,4,0,9,1,89,1,10065,0.52766,155.98005,0.096,1.0,0.435,0.282,57,231,462,8,524
6aGwF9D2BqmcSzF0JpfzJu,1Hsdzj7Dlq2I7tHP7501T4,218396,65,0,0.585,0.641,-7.428,0.0319,0.011,0,0.115,0.392,139.992,4,1,2,12,89,13,10175,0.49392,210.69787,0.712,0.964,0.613,0.572,125,500,1000,9,717
4WZT0Mi3tD0XrYRkkDlxNN,1Hsdzj7Dlq2I7tHP7501T4,242792,66,0,0.709,0.68,-7.954,0.0348,0.322,0,0.122,0.818,126.961,4,1,1,7,89,13,10175,0.52839,227.46268,1.0,1.0,0.624,0.539,127,509,1018,13,861
4pYZLpX23Vx8rwDpJCpPTA,1pPmIToKXyGdsCF6LmqLmI,193173,80,1,0.888,0.664,-10.13,0.341,0.0424,0,0.0734,0.53,140.012,4,1,0,1,78,1,10150,0.45274,181.1795,0.787,1.0,0.563,0.744,111,446,892,9,818
3Hi5fiehijRW2FcNA0Av4h,6Av6GMCOznZIlHuNcBWgf4,194430,60,1,0.811,0.621,-6.66,0.336,0.00756,0,0.088,0.643,158.005,4,1,1,1,66,11,10051,0.0,181.77741,0.819,1.0,0.307,0.553,127,511,1022,9,914
