song_id,artist_id,artist_name,duration,explicit,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,analysis_url
5aAx2yezTd8zXrkmtKl66Z,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,230453,TRUE,Starboy,81,0.681,0.594,7,-7.028,1,0.282,0.165,3.49E-06,0.134,0.535,186.054,4,https://api.spotify.com/v1/audio-analysis/5aAx2yezTd8zXrkmtKl66Z
7BKLCZ1jbUBVqRi2FVlTVw,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,244960,FALSE,Closer,86,0.748,0.524,8,-5.599,1,0.0338,0.414,0,0.111,0.661,95.01,4,https://api.spotify.com/v1/audio-analysis/7BKLCZ1jbUBVqRi2FVlTVw
5knuzwU65gJK7IF5yJsuaW,6MDME20pz9RveH9rEXvrOM,Clean Bandit,251088,FALSE,Rockabye (feat. Sean Paul & Anne-Marie),85,0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,4,https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW
4pdPtRcBmOSQDlJ3Fk945m,540vIaP2JwjQb9dm3aArA4,DJ Snake,205946,FALSE,Let Me Love You,81,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02E-05,0.122,0.142,199.864,4,https://api.spotify.com/v1/audio-analysis/4pdPtRcBmOSQDlJ3Fk945m
3NdDpSvN911VPGivFlV5d0,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,245200,FALSE,"I Donâ€™t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",83,0.735,0.451,0,-8.374,1,0.0585,0.0631,1.30E-05,0.325,0.0862,117.973,4,https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0
5MFzQMkrl1FOOng9tq6R9r,04gDigrS5kc9YWfZHwBETP,Maroon 5,214480,FALSE,Don't Wanna Know,76,0.783,0.623,7,-6.126,1,0.08,0.338,0,0.0975,0.447,100.048,4,https://api.spotify.com/v1/audio-analysis/5MFzQMkrl1FOOng9tq6R9r
343YBumqHu19cGoGARUTsd,3TVXtAsR1Inumwj472S9r4,Drake,210937,TRUE,Fake Love,79,0.927,0.488,9,-9.433,0,0.42,0.108,0,0.196,0.605,133.987,4,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd
5uCax9HTNlzGybIStD3vDh,4IWBUUAFIplrNtaOHcJPRM,James Arthur,211466,FALSE,Say You Won't Let Go,85,0.358,0.557,10,-7.398,1,0.059,0.695,0,0.0902,0.494,85.043,4,https://api.spotify.com/v1/audio-analysis/5uCax9HTNlzGybIStD3vDh
6b8Be6ljOzmkOmFslEb23P,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,225983,FALSE,24K Magic,82,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P
5GXAXm5YOmYT0kL5jHvYBt,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,269186,FALSE,I Feel It Coming,71,0.768,0.813,0,-5.94,0,0.128,0.427,0,0.102,0.579,92.994,4,https://api.spotify.com/v1/audio-analysis/5GXAXm5YOmYT0kL5jHvYBt
6fujklziTHa8uoM5OQSfIo,7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,291893,TRUE,Black Beatles,77,0.794,0.646,0,-6.235,1,0.0614,0.13,0,0.14,0.322,145.931,4,https://api.spotify.com/v1/audio-analysis/6fujklziTHa8uoM5OQSfIo
1xznGGDReH1oQq0xzbwXa3,3TVXtAsR1Inumwj472S9r4,Drake,173986,FALSE,One Dance,82,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,4,https://api.spotify.com/v1/audio-analysis/1xznGGDReH1oQq0xzbwXa3
6mICuAdrwEjh6Y6lroV2Kg,0EmeFodog0BfCgMzAIvKQp,Shakira,195840,FALSE,Chantaje,82,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05E-05,0.159,0.907,102.034,4,https://api.spotify.com/v1/audio-analysis/6mICuAdrwEjh6Y6lroV2Kg
6DNtNfH8hXkqOX1sjqmI7p,738wLrAtLtCtFOLvQBXOXp,Major Lazer,185351,FALSE,Cold Water (feat. Justin Bieber & MÃ˜),77,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,4,https://api.spotify.com/v1/audio-analysis/6DNtNfH8hXkqOX1sjqmI7p
