song_id,artist_id,artist_name,duration,explicit,song_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,analysis_url
0KKkJNfGyhkQ5aFogxQAPU,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,206693,False,That's What I Like,87,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU
6b8Be6ljOzmkOmFslEb23P,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,225983,False,24K Magic,82,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,4,https://api.spotify.com/v1/audio-analysis/6b8Be6ljOzmkOmFslEb23P
0nJW01T7XtvILxQgC5J7Wh,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,213826,False,When I Was Your Man,82,0.612,0.28,0,-8.648,1,0.0434,0.932,0,0.088,0.387,72.795,4,https://api.spotify.com/v1/audio-analysis/0nJW01T7XtvILxQgC5J7Wh
0kN8xEmgMW9mh7UmDYHlJP,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,261240,False,Versace On The Floor,81,0.578,0.574,2,-6.209,1,0.0454,0.196,0,0.083,0.301,174.152,4,https://api.spotify.com/v1/audio-analysis/0kN8xEmgMW9mh7UmDYHlJP
3w3y8KPTfNeOKPiqUTakBh,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,233478,False,Locked Out Of Heaven,78,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4,https://api.spotify.com/v1/audio-analysis/3w3y8KPTfNeOKPiqUTakBh
7BqBn9nzAq8spo5e7cZ0dJ,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,220733,False,Just the Way You Are,77,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,4,https://api.spotify.com/v1/audio-analysis/7BqBn9nzAq8spo5e7cZ0dJ
55h7vJchibLdUkxdlX3fK7,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,178560,True,Treasure,76,0.874,0.692,5,-5.28,0,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,4,https://api.spotify.com/v1/audio-analysis/55h7vJchibLdUkxdlX3fK7
0mBKv9DkYfQHjdMcw2jdyI,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,186973,False,Chunky,75,0.571,0.539,5,-4.446,0,0.116,0.0208,0,0.125,0.727,202.103,4,https://api.spotify.com/v1/audio-analysis/0mBKv9DkYfQHjdMcw2jdyI
5UJshy5HDHdNEVqlJwzsQB,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,228300,False,Versace On The Floor (Bruno Mars vs. David Guetta),74,0.747,0.701,2,-4.902,1,0.0429,0.108,0,0.0712,0.589,100.012,4,https://api.spotify.com/v1/audio-analysis/5UJshy5HDHdNEVqlJwzsQB
1I6pKIyaBp4OebTGLJpCCC,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,210053,False,Perm,72,0.853,0.871,8,-3.715,1,0.0851,0.0145,6.84e-05,0.198,0.863,124.021,4,https://api.spotify.com/v1/audio-analysis/1I6pKIyaBp4OebTGLJpCCC
6cAKeFFYW2aClZSUyvqAEW,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,193446,False,It's Gotta Be You,71,0.433,0.745,8,-4.632,1,0.0377,0.221,0,0.0981,0.588,95.472,4,https://api.spotify.com/v1/audio-analysis/6cAKeFFYW2aClZSUyvqAEW
33XCmHpWcIEeSNBgEDi4Mx,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,225252,False,Streets of Gold,62,0.695,0.58,2,-6.089,0,0.0275,0.38,0,0.0882,0.447,115.997,4,https://api.spotify.com/v1/audio-analysis/33XCmHpWcIEeSNBgEDi4Mx
2xI4CmkT6Bl4s5b4qggcgU,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,185236,False,Don't Come Easy,58,0.329,0.631,2,-4.343,1,0.0486,0.26,0,0.269,0.544,155.856,4,https://api.spotify.com/v1/audio-analysis/2xI4CmkT6Bl4s5b4qggcgU
3PF0ua1mLOWPFYOmx3LaYi,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,188230,False,It's Gotta Be You - Tungevaag & Raaban Remix,54,0.635,0.66,8,-4.406,1,0.165,0.166,2.39e-05,0.195,0.486,105.088,4,https://api.spotify.com/v1/audio-analysis/3PF0ua1mLOWPFYOmx3LaYi
60izfFllm08sH66ugsSvSm,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,206697,False,If I Ain't Got You,49,0.5,0.511,1,-6.26,1,0.0387,0.265,0,0.0957,0.223,117.646,3,https://api.spotify.com/v1/audio-analysis/60izfFllm08sH66ugsSvSm
3RNf06dUydqvlArehYJgaw,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,258817,False,Halo,43,0.405,0.608,11,-7.19,0,0.0446,0.0279,0,0.0616,0.159,79.939,4,https://api.spotify.com/v1/audio-analysis/3RNf06dUydqvlArehYJgaw
6CSoHvIEGzlS4hl8hzB9L7,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,217980,False,It's Gotta Be You - Toby Green Remix,42,0.647,0.827,8,-4.163,1,0.0519,0.0158,0.000208,0.429,0.573,102.017,4,https://api.spotify.com/v1/audio-analysis/6CSoHvIEGzlS4hl8hzB9L7
16H8H7XRSa8ZKgHahvqJ7m,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,248523,False,Let It Be,40,0.422,0.629,8,-5.401,1,0.0346,0.0756,0,0.106,0.28,129.659,4,https://api.spotify.com/v1/audio-analysis/16H8H7XRSa8ZKgHahvqJ7m
6369pRIfEeQVik6HvcBxEy,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,188347,False,A Change Is Gonna Come,38,0.345,0.68,6,-4.432,1,0.0444,0.145,2.22e-06,0.0874,0.439,167.879,3,https://api.spotify.com/v1/audio-analysis/6369pRIfEeQVik6HvcBxEy
4wQw27helWil4FjTbhYF2L,5lXfVoQxVgC5fpjkVqvNYn,Isaiah,309517,False,Hello,38,0.377,0.6,10,-7.768,0,0.0526,0.327,0,0.0821,0.18,157.857,4,https://api.spotify.com/v1/audio-analysis/4wQw27helWil4FjTbhYF2L
0pSBuHjILhNEo55xK1zrRt,27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo,238586,False,Rolex,82,0.804,0.886,1,-2.512,1,0.04,0.0837,0,0.266,0.789,144.946,4,https://api.spotify.com/v1/audio-analysis/0pSBuHjILhNEo55xK1zrRt
3ROfLScNbTGtKdjEzbx74b,27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo,199880,False,Lit Right Now,66,0.842,0.754,8,-5.542,1,0.0841,0.024,0,0.37,0.585,141.017,4,https://api.spotify.com/v1/audio-analysis/3ROfLScNbTGtKdjEzbx74b
45MTc1GzGpy2iDu2kGyeS6,27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo,194386,False,Better Off Alone,65,0.613,0.641,2,-6.488,1,0.0368,0.000786,1.46e-06,0.123,0.263,156.073,4,https://api.spotify.com/v1/audio-analysis/45MTc1GzGpy2iDu2kGyeS6
16i3H5whsxhyLCBwceuR4j,27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo,245640,False,Rolex - Steve Aoki Remix,59,0.666,0.816,8,-3.595,0,0.0614,0.0102,0,0.11,0.333,145.042,4,https://api.spotify.com/v1/audio-analysis/16i3H5whsxhyLCBwceuR4j
5ehJEAgOStjAp5soh9Jh7z,27mFvqQj8KpjmdKIqcw1mG,Ayo & Teo,207255,False,In Reverse,59,0.844,0.641,2,-2.383,1,0.0699,0.0362,0,0.0562,0.416,150.073,4,https://api.spotify.com/v1/audio-analysis/5ehJEAgOStjAp5soh9Jh7z
7KXjTSCq5nL1LoYtL7XAwS,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,177000,True,HUMBLE.,87,0.904,0.611,1,-6.842,0,0.0888,0.000259,2.03e-05,0.0976,0.4,150.02,4,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS
6PGoSes0D9eUDeeAafB2As,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,213400,True,LOVE. FEAT. ZACARI.,83,0.798,0.582,10,-7.38,1,0.103,0.29,0,0.153,0.766,126.075,4,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As
6HZILIRieu8S0iqY8kIKhj,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,185946,True,DNA.,83,0.637,0.514,1,-6.763,1,0.365,0.0047,0,0.094,0.402,139.931,4,https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj
6SwRhMLwNqEi6alNPVG00n,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,227360,True,LOYALTY. FEAT. RIHANNA.,81,0.681,0.541,9,-8.926,0,0.055,0.0224,0,0.167,0.413,110.803,4,https://api.spotify.com/v1/audio-analysis/6SwRhMLwNqEi6alNPVG00n
1EaKU4dMbesXXd3BrLCtYG,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,208733,True,ELEMENT.,77,0.734,0.687,4,-4.728,0,0.476,0.22,0,0.215,0.476,189.791,4,https://api.spotify.com/v1/audio-analysis/1EaKU4dMbesXXd3BrLCtYG
2MYl0er3UZ1RlKwRb5LODh,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,215509,True,A.D.H.D,72,0.609,0.799,9,-6.883,1,0.24,0.33,0,0.108,0.582,157.74,4,https://api.spotify.com/v1/audio-analysis/2MYl0er3UZ1RlKwRb5LODh
