Artist,Title,Spotify ID
The Weeknd,Starboy,5aAx2yezTd8zXrkmtKl66Z
The Chainsmokers,Closer,7BKLCZ1jbUBVqRi2FVlTVw
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW
DJ Snake,Let Me Love You,4pdPtRcBmOSQDlJ3Fk945m
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",3NdDpSvN911VPGivFlV5d0
Maroon 5,Don't Wanna Know,5MFzQMkrl1FOOng9tq6R9r
Drake,Fake Love,343YBumqHu19cGoGARUTsd
James Arthur,Say You Won't Let Go,5uCax9HTNlzGybIStD3vDh
Bruno Mars,24K Magic,6b8Be6ljOzmkOmFslEb23P
The Weeknd,I Feel It Coming,5GXAXm5YOmYT0kL5jHvYBt
Rae Sremmurd,Black Beatles,6fujklziTHa8uoM5OQSfIo
Drake,One Dance,1xznGGDReH1oQq0xzbwXa3
Shakira,Chantaje,6mICuAdrwEjh6Y6lroV2Kg
Major Lazer,Cold Water (feat. Justin Bieber & MØ),6DNtNfH8hXkqOX1sjqmI7p
Starley,Call On Me - Ryan Riback Extended Remix,78rIJddV4X0HkNAInEcYde
Martin Garrix,In the Name of Love,04DwTuZ2VBdJCCC5TROn7L
Migos,Bad and Boujee (feat. Lil Uzi Vert),4Km5HrUvYTaSUfiSGPJeQR
Ariana Grande,Side To Side,4pLwZjInHj3SimIyN9SnOz
Steve Aoki,Just Hold On,3EmmCZoqpWOTY1g2GBwJoR
Hailee Steinfeld,Starving,1qOLh0tI7trd1zdDKxYZTe
Machine Gun Kelly,Bad Things (with Camila Cabello),1PSBzsahR2AKwLJgx8ehBj
Shawn Mendes,Mercy,4TZy1wLyHec06pwgFYDh1a
Calvin Harris,My Way,1vvNmPOiUuyCbgWmtc6yfm
The Chainsmokers,All We Know,2rizacJSyD9S1IQUxUxnsK
The Chainsmokers,Don't Let Me Down,0QsvXIfqM0zZoerQfsI9lm
Shawn Mendes,Treat You Better,4Hf7WnR761jpxPr5D46Bcd
Twenty One Pilots,Heathens,6i0V12jOa3mr6uu4WYhUBr
Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",6JV2JOEocMgcZxYSZelKcc
Alessia Cara,Scars To Your Beautiful,0prNGof3XqfTvNDxHonvdK
The Vamps,All Night,1yNyoWWWikbLhwIGWjZuDW
Sia,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j
Sage The Gemini,Now and Later,43jBqV3j3Xi1g6wO0bhIMd
John Legend,Love Me Now,6nxQdXa1uAL0rY72wPZu89
Jonas Blue,By Your Side,1D3ODoXHBLpdxolZRHWV1j
CNCO,Reggaetón Lento (Bailemos),3AEZUABDXNtecAOSC1qTfo
Alan Walker,Alone,0JiVRyTJcJnmlwCZ854K4p
Nevada,The Mack,7aV2mflaASUmGhCErm7kBO
Zara Larsson,I Would Like,4Q4jmPHwu0wrJvqrld0FQ6
Robin Schulz,Shed a Light,1cG0umU5TKStygKsPFZ9pY
