Model,Average Error,RMSE
linear,8.16702,10.9666643759
bayesian,8.16673,10.9671216724
forest-1,10.468,14.2349686265
forest-2,9.26406,12.2648950167
forest-3,8.42197,11.2565322817
forest-4,8.20438,10.9301958824
forest-5,8.04336,10.6330513003
forest-10,7.62878,10.1286369129
forest-20,7.42177,9.91521117932
forest-30,7.3393,9.82849583391
forest-40,7.29246,9.76124764798
forest-50,7.29152,9.73650031398
forest-100,7.25652,9.72042142821
forest-200,7.20697,9.63950109076
forest-300,7.19834,9.6407047649
