Model,Training Time (s)
linear,0.03
bayesian,0.05
mlp,2.02
linSVR,9.24
elastic,1.67
lasso,1.65
forest-1,0.84
forest-2,0.93
forest-3,0.93
forest-4,0.93
forest-5,1.04
forest-10,2.16
forest-20,3.32
forest-30,4.74
forest-40,6.69
forest-50,8.04
forest-100,15.24
bagger-1,0.8
bagger-2,1.15
bagger-3,1.15
bagger-4,1.25
bagger-5,1.37
bagger-10,2.5
bagger-20,4.09
bagger-30,6.05
bagger-40,8.02
bagger-50,11.62
bagger-100,19.53
extrat-1,0.32
extrat-2,0.32
extrat-3,0.32
extrat-4,0.32
extrat-5,0.42
extrat-10,0.73
extrat-20,1.15
extrat-30,1.76
extrat-40,2.27
extrat-50,2.9
extrat-100,5.48
gboost-1,0.18
gboost-2,0.28
gboost-3,0.38
gboost-4,0.45
gboost-5,0.54
gboost-10,0.96
gboost-20,1.78
aboost-1,1.18
aboost-2,2.14
aboost-3,3.15
aboost-4,4.26
aboost-5,5.3
aboost-10,10.28
aboost-20,19.77
