Artist,Title,Spotify URL
Post Malone,rockstar,7wGoVu4Dady5GV0Sv4UIsx
Camila Cabello,Havana,0ofbQMrRDsUaVKq2mGLEAb
Dua Lipa,New Rules,2ekn2ttSfGqwhhate0LSR0
Selena Gomez,Wolves,7EmGUiUaOSGDnUUQUDrOXC
Maroon 5,What Lovers Do (feat. SZA),4mxWSdf71VFO52qFeY0fZt
ZAYN,Dusk Till Dawn - Radio Edit,1j4kHkkpqZRBwE0A4CN4Yv
Ed Sheeran,Perfect,0tgVpDi06FyKpA1z0VMD4v
Sam Smith,Too Good At Goodbyes - Edit,0mel2N9Ws9r4yLQn5QE21Y
Marshmello,Silence,7vGuf3Y35N4wmASOKLUVVU
Logic,1-800-273-8255,5tz69p7tJuGPeMGwNTxYuV
NF,Let You Down,6mrKP2jyIQmM0rw6fQryjr
Lil Pump,Gucci Gang,43ZyHQITOjhciSUUNPVRHc
Post Malone,I Fall Apart,75ZvA4QfFiZvzhj2xkaWAh
Khalid,Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY
Demi Lovato,Sorry Not Sorry,3m660poUr1chesgkkjQM7P
J Balvin,Mi Gente,2rb5MvYT7ZIxbKW5hfcHx8
Ed Sheeran,Shape of You,7qiZfU4dY1lWllzX7mPBI3
Portugal. The Man,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK
Charlie Puth,How Long,32DGGj6KlNuBr6WaqRxpxi
Macklemore,Glorious (feat. Skylar Grey),0CokSRCu5hZgPxcZBaEzVE
French Montana,Unforgettable,3B54sVLJ402zGa6Xm4YGNe
Kygo,Stargazing,0Zbbxnx4SGGHoIow4PpISP
Lil Uzi Vert,XO TOUR Llif3,7GX5flRQZVHRAGd6B4TmDO
Imagine Dragons,Thunder,0tKcYR2II1VCQWT79i5NrW
21 Savage,Bank Account,2fQrGHiQOvpL9UgPvtYy6G
Avicii,Lonely Together (feat. Rita Ora),2OALaHcDdKkjYEpAr0Qzab
Justin Bieber,Friends (with BloodPop®),7nZmah2llfvLDiUjm0kiyz
Hailee Steinfeld,"Let Me Go (with Alesso, Florida Georgia Line & watt)",5AEtlRudpgdT5FtNiuly6Y
Post Malone,Congratulations,3a1lNhkSLSkpJE4MSHpDu9
J Balvin,Mi Gente (feat. Beyoncé),7fwXWKdDNI5IutOMc5OKYw
P!nk,What About Us,0Qh38w01QRXK6KHIv0e3hb
Cardi B,Bodak Yellow,2771LMNxwf62FTAdpJMQfM
Natti Natasha,Criminal,2SmgFAhQkQCQPyBiBxR6Te
Charlie Puth,Attention,4iLqG9SeJSnt0cSPICSjxv
Ozuna,Se Preparó,1m69ELEgE6k5ZWsap40ozt
Danny Ocean,Me Rehúso,6De0lHrwBfPfrhorm9q1Xl
Taylor Swift,Look What You Made Me Do,6uFsE1JgZ20EXyU0JQZbUR
XXXTENTACION,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96
Becky G,Mayores,7JNh1cfm0eXjqFVOzKLyau
Axwell /\ Ingrosso,More Than You Know,3PEgB3fkiojxms35ntsTgs
Lauv,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9
Kendrick Lamar,HUMBLE.,7KXjTSCq5nL1LoYtL7XAwS
Calvin Harris,Feels,5bcTCxgc7xVfSaMV3RuVke
Niall Horan,Too Much To Ask,4v094LQ9eF10k2O2Te2ngK
Migos,MotorSport,1YZfcVLbbJwfizR5cDOp3q
Avicii,Without You (feat. Sandro Cavazza),6WbADFqMvR8N5u0BvtsWQE
Taylor Swift,Gorgeous,5Gd19NupVe5X8bAqxf9Iaz
