Date,Artist,Title,Lyrics
2017-01-05,Migos Featuring Lil Uzi Vert,Bad And Boujee,"  [intro: offset] you know, young rich niggas you know so we ain't really never had no old money we got a whole lotta new money though, hah (if young metro don't trust you i'm gon' shoot ya) hey!  [hook: offset] raindrop (drip), drop top (drop top) smokin' on cookie in the hotbox (cookie) fuckin' on your bitch, she a thot, thot (thot) cookin' up dope in the crockpot (pot) we came from nothin' to somethin', nigga (hey) i don't trust nobody, grip the trigger (nobody) call up the gang and they come and get ya (gang) cry me a river, give you a tissue (hey) my bitch is bad and boujee (bad) cookin' up dope with a uzi (blaow) my niggas is savage, ruthless (savage) we got 30's and 100 rounds too (grrah) my bitch is bad and boujee (bad) cookin' up dope with a uzi (dope) my niggas is savage, ruthless (hey) we got 30's and 100 rounds too (glah)  [verse 1: offset] offset, whoo, whoo, whoo, whoo, whoo! rackaids on rackaids, got back-ends on back-ends i'm ridin' around in a coupe (coupe) i take your bih right from you (you) bitch, i'm a dog, roof (grr) beat the ho walls loose (hey) hop in the frog, whoo (skrt) i tell that bih to come comfort me (comfort me) i swear these niggas is under me (hey) they hate and the devil keep jumpin' me (jumpin' me) bankrolls on me keep me company (cash) ayy, we do the most yeah, pull up in ghosts (whoo) yeah, my diamonds a choker (glah) holdin' the fire with no holster (blaow) rick the ruler, diamonds cooler (cooler) this a rollie, not a muller (hey) dabbin' on 'em like the usual (dab) magic with the brick, do voodoo (magic) courtside with a bad bitch (bitch) then i send the bitch through uber (go) i'm young and rich and plus i'm bougie (hey) i'm not stupid so i keep the uzi (rrah) rackaids on rackaids, got back-ends on back-ends so my money makin' my back ache (aagh) you niggas got a low act rate (act) we from the nawf, yeah, dat way (nawf) fat cookie blunt in the ashtray (cookie) two bitches, just national smash day (smash) hop in the lamb, have a drag race (skrt) i let them birds take a bath, bae (brr)  [hook: offset] raindrop (drip), drop top (drop top) smokin' on cookie in the hotbox (cookie) fuckin' on your bitch, she a thot, thot (thot) cookin' up dope in the crockpot (pot) we came from nothin' to somethin', nigga (hey) i don't trust nobody, grip the trigger (nobody) call up the gang and they come and get ya (gang) cry me a river, give you a tissue (hey) my bitch is bad and boujee (bad) cookin' up dope with a uzi (blaow) my niggas is savage, ruthless (savage) we got 30's and 100 rounds too (grrah) my bitch is bad and boujee (bad) cookin' up dope with a uzi (dope) my niggas is savage, ruthless (hey) we got 30's and 100 rounds too (glah)  [verse 2: quavo] pour a four, i'm droppin' muddy outer space, kid cudi (drank) introduce me to your bitch as wifey and we know she sluttin' broke a brick down, nutted butted, now that nigga duckin' don't move too fast, i might shoot ya (huh?) draco bad and boujee (draco) i'm always hangin' with shooters (brrah) might be posted somewhere secluded (private) still be playin' with pots and pans, call me quavo ratatouille run with that sack, call me boobie (run with it) when i'm on stage show me boobies (ayy) ice on my neck, i'm the coolest (ice) hop out the suicide with the uzi (pew-pew-pew) i pull up, i pull up, i pull up i hop out with all of the drugs and the good luck (skrrt) i'm cookin', i'm cookin', i'm whippin' i'm whippin' into a rock up, let it lock up (lock up) i gave her 10 racks i told her go shoppin' and spend it all at the pop up (ten) these bitches, they fuck and suck dick and they bustin' for instagram, get your klout up uh, yeah, dat way, float on the track like a segway (go) yeah, dat way, i used to trap by the subway (trappin') yeah, dat way, young nigga trap with the ak (rrrah) yeah, dat way, big dyke ho, get the door, macy gray (hey)  [hook: offset] raindrop (drip), drop top (drop top) smokin' on cookie in the hotbox (cookie) fuckin' on your bitch, she a thot, thot (thot) cookin' up dope in the crockpot (pot) we came from nothin' to somethin', nigga (hey) i don't trust nobody, grip the trigger (nobody) call up the gang and they come and get ya (gang) cry me a river, give you a tissue (hey) my bitch is bad and boujee (bad) cookin' up dope with a uzi (blaow) my niggas is savage, ruthless (savage) we got 30's and 100 rounds too (grrah) my bitch is bad and boujee (bad) cookin' up dope with a uzi (dope) my niggas is savage, ruthless (hey) we got 30's and 100 rounds too (glah)  [verse 3: lil uzi vert] yeah, yeah, yeah, yeah, yeah my bitch, she bad to the bone ayy, wait, these niggas watchin' i swear to god they be my clones yeah, hey, huh switchin' my hoes like my flows (what?) switchin' my flows like my clothes (like what?) keep on shootin' that gun, don't reload ooh, ooh, now she want fuck with my crew 'cause the money come all out the roof drive the rari, that bitch got no roof (skrt) wait, what kind of rari? 458 (damn) all of these niggas, they hate (they hate) try to hide, shoot through the gate look, go to strip club, make it rain yeah, so much money they use rakes count a hundred thousand in your face (in your face) yeah, then put 300 right in the safe met her today, yeah she talk to me like she knew me, yeah go to sleep in a jacuzzi, yeah wakin' up right to a two-piece, yeah countin' that paper like loose leaf, yeah gettin' that chicken with blue cheese, yeah boy, you so fake like my collar, you snakin' i swear to god that be that gucci (ayy) and you know we winnin' (winnin') yeah, we is not losin' try to play your song, it ain't move me (what?) saw your girl once, now she choosin', yeah  [hook: offset] raindrop (drip), drop top (drop top) smokin' on cookie in the hotbox (cookie) fuckin' on your bitch, she a thot, thot (thot) cookin' up dope in the crockpot (pot) we came from nothin' to somethin', nigga (hey) i don't trust nobody, grip the trigger (nobody) call up the gang and they come and get ya (gang) cry me a river, give you a tissue (hey) my bitch is bad and boujee (bad) cookin' up dope with a uzi (blaow) my niggas is savage, ruthless (savage) we got 30's and 100 rounds too (grrah) my bitch is bad and boujee (bad) cookin' up dope with a uzi (dope) my niggas is savage, ruthless (hey) we got 30's and 100 rounds too (glah)  "
2016-12-29,J. Cole,Deja Vu,"  [intro] ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her  [verse 1] sometimes you worry bout the things he can provide for ya whenever you around i seem to come alive for ya i finally recognize the feelings that's inside for ya although i know your man and trust me he would die for ya these quiet thoughts of you been going on for years now i saw you in the party, soft lips, soft spoken i came and talked to you but homie interfered now he introduced you as his girl and i was heartbroken some people talk about that love at first sight shit to keep it real i don't know whether i believe it's true but if it is then tell me if i'm wrong or right if i fell in love with you before i ever even knew i catch your eye then look away as if it never happened at times i feel as though i'm caught up in a strange dream if eyes could talk then mines would tell ya that i'm feeling you sometimes i swear your eyes be telling me the same thing  [pre-hook] she fuck with small town niggas, i got bigger dreams she fuck with small town niggas, i got bigger dreams (listen) she fuck with small town niggas, i got bigger dreams she fuck with small town niggas, i got bigger dreams (listen)  [hook] club jumping, don't stop, off top but you know we only go 'till 2 o'clock put yo motherfuckin' hood up, it's the weekend drop that, back that ass up and bitches get to freaking last call at the bar, ladies get a drink, nigga get some balls ain't no telling you gonna see that bitch tomorrow stop holding up the wall waiting for the right song better holla cause you know they bout to cut the lights on  [verse 2] and put my number in it i'm staring at you from afar, i'm wondering about you like, where you from and who you are? 'cause you a starno, not the type that snort the white lines i mean the type to light the night time, i heard you got a man but who in their right mind letting you out the house alone? tell me is your house a home? why you in the club looking like you out your zone? now be discreet and pull out your phone and put my number in it text a nigga when your man leave you unattended on a scale from 1 to 10 that girl's a hundred and i want it no question, i know destiny well and though i sin the lord blessing me still every saint got a past, every sinner got a future every loser gotta win and every winner gotta lose someday they say it's just a matter of time and if i had my way then you would be mine  [pre-hook] she fuck with small town niggas, i got bigger dreams she fuck with small town niggas, i got bigger dreams (listen) she fuck with small town niggas, i got bigger dreams she fuck with small town niggas, i got bigger dreams  [hook] club jumping, don't stop, off top but you know we only go 'till 2 o'clock put yo motherfuckin' hood up, it's the weekend drop that, back that ass up and bitches get to freaking last call at the bar, ladies get a drink, nigga get some balls ain't no telling you gonna see that bitch tomorrow stop holding up the wall waiting for the right song better holla 'cause you know they bout to cut the lights on  [bridge] i know you were made for me but darling don't you wait for me 'cause i can see the promised land but i can't do no promising i know you were made for me but darling don't you wait for me 'cause i can see the promised land but i can't do no promising  [outro] ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her ayy, put a finger in the sky if you want it, nigga ayy, put two fingers in the sky if you want her  "
2016-05-12,Beyonce Featuring The Weeknd,6 Inch,"  [chorus: beyonc] six inch heels, she walked in the club like nobody's business goddamn, she murdered everybody and i was her witness  [verse 1: the weeknd] she's stacking money, money everywhere she goes you know, pesos out of mexico de uno, commas and them decimals she don't gotta give it up, she professional she mixing up that ace with that hennessy she love the way it tastes, that's her recipe rushing through her veins like it's ecstasy, oh no she already made enough but she'll never leave  [chorus: beyonc] six inch heels, she walked in the club like nobody's business goddamn, she murdered everybody and i was her witness  [post-chorus: beyonc & belly] she works for the money, she work for the money from the start to the finish and she worth every dollar, she worth every dollar and she worth every minute she works for the money she works for the money she works for the money she works for the money  [verse 2: beyonc] she stack her money, money everywhere she goes she got that sake, her yamazaki straight from tokyo oh baby you know, she got them commas and them decimals she don't gotta give it up cause she professional  [chorus: beyonc] six inch heels, she walked in the club like nobody's business goddamn, she murdered everybody and i was her witness  [post-chorus: beyonc] she works for the money, she work for the money from the start to the finish and she worth every dollar, she worth every dollar and she worth every minute  [bridge: beyonc] stars in her eyes she fights for the power, keeping time she grinds day and night she grinds from monday to friday works from friday to sunday she gon' slang she too smart to crave material things she pushing herself day and night she grinds from monday to friday works from friday to sunday oh, stars in her eyes she fights and she sweats those sleepless nights but she don't mind, she loves the grind she grinds from monday to friday works from friday to sunday yeah, yeah, she gon' slang too smart to crave material things stacking her paper stacking her cake up she grinds from monday to friday works from friday to sunday  [chorus: beyonc] six inch heels, she walked in the club like nobody's business goddamn, she murdered everybody and i was her witness  [post-chorus: beyonc] she works for the money, she work for the money from the start to the finish and she worth every dollar, she worth every dollar and she worth every minute  [outro: beyonc] oh, boy, i'll make you feel you always come back to me come back, come back come back, come back come back, come back, come back  [produced by boots, beyonc, ben billions & danny boy styles]  "
2017-04-06,Drake Featuring Quavo & Travis Scott,Portland,"  [intro: drake] murda on the beat so it's not nice yeah its a habibis ting, ya?  [verse 1: drake] yeah, my side girl got a 5s with the screen cracked still hit me back right away, better not never hesitate don't come around thinkin' you gettin' saved tryna show the dogs brighter days got a torch, tryna light the way bitin' everybody, which is ironic 'cause your next album probably won't ever see the light of day had fans, but you let 'em down but i guess that's how you niggas gettin' down i'm so high up i'm like, ""how is niggas really gettin' down?"" i could never have a kid, then be out here still kiddin' round boys playin' around, where you really wanna take it now? i got a 150,000 dollars for an afterparty and i gave it to the killas just to break it down bring us up, i never take us down but if you bring me up, then they might take you down fake fucked with me back then but it's gettin' hard for you to fake it now fuck bein' rich when i'm forty, man, i'm tryna make it now  [hook: quavo] hell nah never let these niggas ride your wave nope, no way, nah never let these niggas ride your wave nope, no way, nah park the benz just to the ride the wraith skrrt skrrt ten million dollars, gotta hide the safe skrrt skrrt, oh michael phelps with the swim moves skrrt skrrt, oh michael jordan with the tennis shoes skrrt skrrt  [verse 2: quavo] quavo, young nigga, i invented you (ugh) ike turner with the left hand (ike) griselda blanco with the trap moves gangland with the right hand undertaker with the tattoos never listen to the class rules switch it up, they bit the last move (let's go!) i'm a magnet for bad bitches you got the goin' out sad bitches i spent a fifty on the chain (racks) you spent your last fifty (ugh, cash) i got the keys to the streets you got the key to defeat i got the keys to the warzone (brrrapt!) you got the key to the peace (ugh)  [hook: quavo] hell nah never let these niggas ride your wave nope, no way, nah never let these niggas ride your wave nope, no way, nah park the benz just to ride the wraith skrrt skrrt ten million dollars, gotta hide the safe  [verse 3: travis scott] we gon' go live, we gon' go live, yep we gon' go live, we gon' go live, yep gettin' loose off the henny, 'roc and a hint of goose ocean deep in my swimmin' pool throwin' dead prez in my livin' room takin' shots, feelin' bulletproof flood my rollie, told my bitch: ""let's go snorkelin'!"" out in portland, tryna get in her organs no, i did not sign with jay but i still send a tidal wave yeah, i might just go get the fade buy the du-rag and just tie the waves yeah, it's lit at the crib, you could stay me and drake kick like kid n' play the way that she servin' that cake i gotta sit back and digest i guess, for the fuck-shit i'm biased i mix, double the cup when i stress got my momma out the basement that's a different type of face lift free max b out the bracelets don't hit us askin' what the wave is  [hook: quavo] hell nah never let these niggas ride your wave nope, no way, nah never let these niggas ride your wave nope, no way, nah park the benz just to the ride the wraith skrrt skrrt ten million dollars, gotta hide the safe skrrt skrrt, oh michael phelps with the swim moves skrrt skrrt, oh michael jordan with the tennis shoes skrrt skrrt, oh michael phelps with the swim moves skrrt skrrt, oh michael jordan with the tennis shoes  "
2017-07-27,JAY-Z,The Story Of O.J.,"  [intro: nina simone] skin is, skin, is skin black, my skin is black my, black, my skin is yellow  [chorus] light nigga, dark nigga, faux nigga, real nigga rich nigga, poor nigga, house nigga, field nigga still nigga, still nigga i like that second one light nigga, dark nigga, faux nigga, real nigga rich nigga, poor nigga, house nigga, field nigga still nigga, still nigga  [interlude] o.j. like, ""i'm not black, i'm o.j."" okay  [verse 1] house nigga, don't fuck with me i'm a field nigga, go shine cutlery go play the quarters where the butlers be i'ma play the corners where the hustlers be i told him, ""please don't die over the neighborhood that your mama rentin' take your drug money and buy the neighborhood that's how you rinse it"" i bought every v12 engine wish i could take it back to the beginnin' i coulda bought a place in dumbo before it was dumbo for like 2 million that same building today is worth 25 million guess how i'm feelin'? dumbo  [chorus] light nigga, dark nigga, faux nigga, real nigga rich nigga, poor nigga, house nigga, field nigga still nigga, still nigga light nigga, dark nigga, faux nigga, real nigga rich nigga, poor nigga, house nigga, field nigga still nigga, still nigga  [interlude] you wanna know what's more important than throwin' away money at a strip club? credit you ever wonder why jewish people own all the property in america? this how they did it  [verse 2] financial freedom my only hope fuck livin' rich and dyin' broke i bought some artwork for one million two years later, that shit worth two million few years later, that shit worth eight million i can't wait to give this shit to my children y'all think it's bougie, i'm like, it's fine but i'm tryin' to give you a million dollars worth of game for $9.99 i turned that 2 to a 4, 4 to an 8 i turned my life into a nice first week release date y'all out here still takin' advances, huh? me and my niggas takin' real chances, uh y'all on the 'gram holdin' money to your ear there's a disconnect, we don't call that money over here, yeah  [chorus] light nigga, dark nigga, faux nigga, real nigga rich nigga, poor nigga, house nigga, field nigga still nigga, still nigga light nigga, dark nigga, faux nigga, real nigga rich nigga, poor nigga, house nigga, field nigga still nigga, still nigga  "
2017-05-04,Kendrick Lamar,Element.,"  [intro: kid capri & kendrick lamar] new kung fu kenny ain't nobody prayin' for me y'all know, what happens on earth stays on earth here we go! i don't give a fuck, i don't give a fuck i don't give a, i don't give a, i don't give a fuck  [verse 1] i'm willin' to die for this shit i done cried for this shit, might take a life for this shit put the bible down and go eye for an eye for this shit d.o.t. my enemy, won't catch a vibe for this shit, ayy i been stomped out in front of my momma my daddy commissary made it to commas bitch, all my grandmas dead so ain't nobody prayin' for me, i'm on your head, ayy thirty millions later, know the feds watchin' auntie on my telegram like, ""be cautious!"" i be hangin' out at tam's, i be on stockton i don't do it for the 'gram, i do it for compton i'm willin' to die for this shit, nigga i'll take your fuckin' life for this shit, nigga we ain't goin' back to broke, family sellin' dope that's why you mainey-ass rap niggas better know  [chorus] if i gotta slap a pussy-ass nigga, i'ma make it look sexy if i gotta go hard on a bitch, i'ma make it look sexy i pull up, hop out, air out, made it look sexy they won't take me out my element nah, take me out my element  [verse 2] i'm allergic to a bitch nigga, ayy an imaginary rich nigga, ayy seven figures, ho, that's slimmer than my bitch figure, ayy goin' digital and physical on all y'all, ayy bunch of criminals and money in my phone calls, ayy we okay, we let the a1 fly relocate, jump on the same g5 checkin' for me heavy 'cause i go yeah, i go yeah they never been ready  yeah, i know yeah, know yeah 100k spread across the floor, 'cross the floor, yeah none of y'all fuckin' with the flow yeah, the flow yeah years in the makin', and don't y'all mistake it i got 'em by a landslide, we talkin' about races you know this'll never be a tie, just look at their laces you know careers take off, just gotta be patient mr. one through five, that's the only logic fake my death, go to cuba, that's the only option  [chorus] if i gotta slap a pussy-ass nigga, i'ma make it look sexy if i gotta go hard on a bitch, i'ma make it look sexy i pull up, hop out, air out, made it look sexy they won't take me out my element nah, take me out my element  [bridge] damned if i do, if i don't (yuhhh) goddamn us all if you won't (yuhhh) damn, damn, damn, it's a goddamn shame you ain't frontline, get out the goddamn way  [verse 3] niggas thought they wasn't gonna see me, huh? niggas thought that k-dot real life was the same life they see on tv, huh? niggas wanna flex on me and be in l.a. for free, huh? next time they hit the 10 freeway, we need receipt, huh? 'cause most of y'all ain't real most of y'all gon' squeal most of y'all just envy, but jealousy get you killed most of y'all throw rocks and try to hide your hand just say his name and i promise that you'll see candyman because it's all in your eyes, most of y'all tell lies most of y'all don't fade, most of y'all been advised last lp i tried to lift the black artists but it's a difference between black artists and wack artists  [outro: kendrick lamar & kid capri] if i gotta slap a pussy-ass nigga, i'ma make it look sexy it's the one and only, the world's greatest, the kid capri if i gotta go hard on a bitch, i'ma make it look sexy i pull up, hop out, air out, made it look sexy they won't take me out my element nah, take me out my element  "
2015-03-19,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",All Day,"  [intro: kanye west (theophilus london)] all day, nigga (dance, ayy, ayy ayy ayy)  [hook 1: kanye west] all day, nigga how long you niggas ball? all day, nigga how much time you spent at the mall? all day, nigga how many runners do you got on call? all day, nigga swish, swish, how long they keep you in court? all day, nigga take you to get this fly? all day, nigga tell your p.o. how-how long you been high? all day, nigga you already know im straight from the chi, all day, nigga south, south, south side! all day, nigga  [verse 1: kanye west] this ye, nigga shoppin' for the winter and its just may, nigga ball so hard, man, this shit cray, nigga and you ain't gettin' money 'less you got eight figures for that jesus piece, man, i've been saved, nigga just talked to farrakhan, that's sensei, nigga told him i've been on ten since the 10th grade, nigga got a middle finger longer than dikembe, my nigga, uh i don't let 'em play with me i don't let 'em talk to me no kind of way uh, they better watch what they say to me niggas still gettin' popped on the day to day yeah, i still got the hundred with the small face, nigga might spend 50 racks on my off day, nigga you a fake denzel like the allstate nigga if you run into me, better have allstate with yah you a rico suave nigga ride 'round listen to sade, nigga if you ain't with us, you in our way, nigga you an actor, you should be on broadway, nigga 'cause you do shit the broad way, nigga your bitch got a ass, but my broad way thicker late for the class, in the hallway, nigga yeah, the dropout at it as always nigga, as always all day, nigga  [refrain: allan kingdom] i took a young sweet breath, and i reached into my earth gave him what i had left at that moment i dispersed at that moment i dispersed  [hook 2: kanye west] all day, nigga how-h-how long you ball? all day, nigga how much time you spent at the mall? all day, nigga how long it take you to get this fly? all day, nigga tell your p.o. how-how long you been high? all day, nigga pour some hen out for my niggas that died, all day, nigga and i keep a bad bitch on the passenger side, all day, nigga you already know im straight from the chi, all day, nigga south, south, south side! all day, nigga  [verse 2: kanye west] i could do this all day, boy, i'm finna turn this bitch out they need that ye in the streets, boy, there's been a mothafuckin' drought don't really matter what i make, boy, you know i still go wild like a light skinned slave, boy, we in the mothafuckin' house! right now, you lookin' real sus right now i swear i've been on this flight like a month right now stupid niggas gettin' money, forrest gump right now shout-out to jackie chan, i need to stunt right now they've been lookin' at the gram, i've been lookin' at the grammys like, huh, that's us right now 24/7, 365 days, everybody gettin' paid niggas lookin' at me like i'm worth both mjs people saying, ""ye, ye, take it easy"" 20 gs for the yeezys off of ebay niggas do the most and they ain't done shit only way i can sum it up, sumbitch  [bridge: theophilius london (kanye west)] (hands up, hands up, hands up) hands up, hands up, hands up so won't you dance? ayy, ayy ayy ayy (all day, nigga)  [refrain: allan kingdom] i took a young sweet breath, and i reached into my earth gave him what i had left at that moment i dispersed at that moment i dispersed  [break: kanye west] get low, alright get low, alright what up? alright, alright stay low, alright stay low, alright stay low, alright south, south, south side! all day, nigga  [guitar interlude: paul mccartney] whistling  [outro: paul mccartney] well, well, well, let me run (let me run) let me run to see who came undone you've been right in my face let me run 'til you're off my case whooooa, whooooa whooooa, whooooa whooooa, whooooa whooooa, whooooa  [produced by velous, kanye west, diddy and charlie heat; co-produced by mike dean, french montana and noah goldstein; additional production by plain pat, travi$ scott, allen ritter & mario winans]  "
2016-05-05,Prince And The Revolution,Purple Rain,"  [verse 1] i never meant to cause you any sorrow i never meant to cause you any pain i only wanted to one time to see you laughing i only wanted to see you laughing in the purple rain  [chorus] purple rain, purple rain purple rain, purple rain purple rain, purple rain i only wanted to see you bathing in the purple rain  [verse 2] i never wanted to be your weekend lover i only wanted to be some kind of friend baby, i could never steal you from another it's such a shame our friendship had to end  [chorus] purple rain, purple rain purple rain, purple rain purple rain, purple rain i only wanted to see you bathing in the purple rain  [verse 3] honey, i know, i know i know times are changing it's time we all reach out for something new, that means you too you say you want a leader but you can't seem to make up your mind i think you better close it and let me guide you to the purple rain  [chorus] purple rain, purple rain purple rain, purple rain purple rain, purple rain i only wanted to see you bathing in the purple rain  "
2015-01-29,Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,"  [produced by: frank e. & lookas]  [hook: sage the gemini] i know what you came here to see if you're a freak, then ya coming home with me and i know what you came here to do now bust it open let me see you get loose it's going down for real it's going down for real it's going down for real  [verse 1: flo rida] your girl just kissed a girl, i do bi chicks shake for a sheik, i'm throwing these emirates in the sky spending this as-salamu alaykum, peace to m.o.n.e.y i love my beaches, south beaches, surfboard in high tide i could just roll up cause i'm swoll up so that birthday cake get the cobra bugatti for real, i'm cold bruh that auto-biography rover got the key to my city it's over it's no thots, only anna kournikova's i set records, ratchets hold up (i set records, ratchets hold up)  [hook: sage the gemini] i know what you came here to see if you're a freak, then ya coming home with me and i know what you came here to do now bust it open let me see you get loose it's going down for real it's going down for real it's going down for real  [verse 2: sage the gemini] (and they already know me) it's going down further than femurs girls get wetter than katrina yeah my girl you never seen her cause my tints by limousines my touch say it's the midas we the plus your man a minus my team blowing on that slam make you cough-cough that's bronchitis put your hands up it's a stick up, no more makeup get that ass on the floor ladies put your lipstick up double entendre, double entendre while you're hating i get money then i double up tonkers  [hook: sage the gemini] i know what you came here to see if you're a freak, then ya coming home with me and i know what you came here to do now bust it open let me see you get loose it's going down for real it's going down for real it's going down for real  [bridge: flo rida] lift it, drop it, shake it, pop it lift it, drop it, shake it, pop it lift it, drop it, shake it, pop it lift it, drop it, shake it  [outro: sage the gemini] it's going down for real it's going down for real it's going down for real it's going down for real it's going down for real  "
2015-05-28,Silento,Watch Me,"  [intro] you already know who it is silent silent silent go on an' do it for me  [hook] now watch me whip (kill it!) now watch me nae nae (okay!) now watch me whip, whip watch me nae nae (watch me do it) now watch me whip (kill it!) now watch me nae nae (okay!) now watch me whip, whip watch me nae nae (can you do it?) now watch me, ooh watch me, watch me ooh watch me, watch me ooh watch me, watch me ooh ooh ooh ooh now watch me, ooh watch me, watch me ooh watch me, watch me ooh watch me, watch me ooh ooh ooh ooh  [verse 1] do the stanky leg (stank) do the stanky leg (stank-stank) do the stanky leg (stank) do the stanky leg (stank-stank) do the stanky leg (stank) do the stanky leg (stank-stank) do the stanky leg (stank) do the stanky leg (stank-stank) now break your legs (break 'em) break your legs (brake the knob) tell 'em ""break your legs"" (break 'em) break your legs (brake the knob) gon' and break your legs (break 'em) break your legs (brake the knob) gon' and break your legs (break 'em) break your legs (brake the knob)  [pre-hook] now watch me bop bop bop bop bop bop bop bop bop bop now watch me bop bop bop bop bop bop bop bop bop bop  [hook] now watch me whip (kill it!) now watch me nae nae (okay!) now watch me whip, whip watch me nae nae (watch me do it) now watch me whip (kill it!) now watch me nae nae (okay!) now watch me whip, whip watch me nae nae (can you do it?) now watch me, ooh watch me, watch me ooh watch me, watch me ooh watch me, watch me ooh ooh ooh ooh now watch me, ooh watch me, watch me ooh watch me, watch me ooh watch me, watch me ooh ooh ooh ooh  [verse 2] now watch me you (soulja!), now watch me superman (okay) now watch me  you (soulja!), now watch me superman (okay) now watch me you (soulja!), now watch me superman (okay) now watch me you (soulja!), now watch me superman (okay) now watch me duff, duff, duff, duff, duff duff, duff, duff (hold on) now watch me duff, duff, duff, duff, duff duff, duff, duff, duff  [pre-hook] now watch me bop bop bop bop bop bop bop bop bop bop now watch me bop bop bop bop bop bop bop bop bop bop  [hook] now watch me whip (kill it!) now watch me nae nae (okay!) now watch me whip, whip watch me nae nae (watch me do it) now watch me whip (kill it!) now watch me nae nae (okay!) now watch me whip, whip watch me nae nae (can you do it?) now watch me, ooh watch me, watch me ooh watch me, watch me ooh watch me, watch me ooh ooh ooh ooh now watch me, ooh watch me, watch me ooh watch me, watch me ooh watch me, watch me ooh ooh ooh ooh  "
